FEE_PROD_ID,CO_CL_CD,SVC_CD,SKB_CB_CRDT_GR,VAL_1,VAL_2,VAL_3,VAL_4,VAL_5,VAL_6,VAL_7,VAL_8,VAL_9,VAL_10,VAL_11,VAL_12,VAL_13,VAL_14,VAL_15,VAL_16,COL_CNT,COL_AMT
NT00000345,B,T,3,29,N,Y,N,1,0,YN,0,0,0,364,1029,0,2,0,0,1,29130
NI00000541,B,I,3,29,N,Y,N,1,0,YN,0,0,0,364,1029,0,2,0,0,1,48610
NI00000278,B,I,5,39,N,N,Y,J,0,YN,0,0,0,2482,5837,2,6,0,0,0,0
NT00000345,B,T,1,34,N,Y,Y,J,0,YN,0,0,0,3198,3938,3,4,0,0,0,0
NI00000541,B,I,1,34,N,Y,Y,J,0,YN,0,0,0,3198,3938,3,4,0,0,0,0
NI00000278,B,I,2,36,N,Y,Y,J,0,YN,0,0,0,4521,4521,3,2,0,0,0,0
NI00000278,B,I,1,65,N,N,Y,J,0,YN,0,0,0,8175,8175,1,3,0,0,0,0
NT00000537,B,T,5,39,N,N,Y,J,0,YN,0,0,0,2482,5837,2,6,0,0,0,0
NT00000537,B,T,2,36,N,Y,Y,J,0,YN,0,0,0,4521,4521,3,2,0,0,0,0
NT00000345,B,T,3,27,N,Y,Y,J,0,YN,0,0,0,1860,1860,4,2,0,0,2,21557
NT00000537,B,T,4,46,N,N,Y,F,0,YN,0,0,0,0,0,0,0,0,0,5,66162
NI00000278,B,I,6,33,N,N,Y,J,0,YN,0,0,0,1047,4096,2,1,0,1,3,57099
NT00000537,B,T,8,35,N,N,Y,2,0,YN,0,0,0,0,3773,0,0,0,1,4,71575
NT00000345,B,T,3,33,N,N,Y,J,0,YN,0,0,0,1447,1475,3,2,0,0,1,24732
NI00000278,B,I,8,35,N,N,Y,2,0,YN,0,0,0,0,3773,0,0,0,1,3,53183
NT00000537,B,T,6,45,N,N,Y,K,0,YN,0,0,3,2175,8212,4,1,0,1,1,16379
NI00000278,B,I,4,57,N,N,N,1,0,YN,0,0,0,650,650,0,1,0,0,5,171130
NP00000041,B,P,8,36,N,N,Y,F,4,YY,0,0,1,867,2498,0,3,0,1,5,66705
NI00000541,B,I,4,54,N,Y,Y,J,3,YY,0,0,0,0,4335,2,0,0,0,2,66896
NT00000317,B,T,2,39,N,Y,N,1,0,YN,0,0,0,1398,5879,2,2,0,0,2,28540
NT00000529,B,T,8,35,N,Y,Y,F,0,YN,0,0,8,0,0,0,0,904,2,3,37879
NT00000327,B,T,8,43,N,N,N,1,0,YN,0,0,9,0,2862,4,0,841,2,4,57300
NT00000345,B,T,6,23,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,1,19068
NT00000537,B,T,7,31,N,N,Y,J,0,YN,0,0,0,0,1308,0,2,0,0,3,49589
NI00000278,B,I,7,35,N,N,Y,J,0,YN,0,0,5,697,4268,1,1,307,1,2,32835
NT00000537,B,T,8,35,N,Y,Y,F,0,YN,0,0,8,0,0,0,0,904,2,3,73903
NI00000278,B,I,8,35,N,Y,Y,F,0,YN,0,0,8,0,0,0,0,904,2,3,76226
NT00000345,B,T,1,64,N,Y,Y,F,0,YN,0,0,0,6465,7773,0,5,0,0,1,29020
NT00000345,B,T,1,53,N,Y,Y,F,0,YN,0,0,0,8146,8146,2,2,0,0,4,69440
NT00000345,B,T,1,42,N,Y,Y,J,0,YN,0,0,0,6952,6952,2,7,0,0,1,4007
NT00000345,B,T,1,38,N,Y,Y,J,0,YN,0,0,0,4163,4787,4,5,0,0,1,20651
NI00000278,B,I,7,31,N,N,Y,J,0,YN,0,0,0,0,1308,0,2,0,0,3,86374
NT00000537,B,T,1,55,N,N,Y,J,0,YN,0,0,0,144,1378,0,1,0,0,1,13090
NT00000345,B,T,10,42,N,N,Y,J,0,YN,0,106,2,5971,5971,0,2,0,2,4,140333
NT00000537,B,T,5,68,N,Y,Y,F,0,YN,0,0,0,3751,3751,1,3,0,0,3,30996
NT00000537,B,T,3,38,N,N,Y,J,0,YN,0,0,0,2071,4592,0,5,0,0,5,53355
NI00000542,B,I,6,23,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,1,21366
NT00000533,B,T,6,25,N,Y,Y,J,0,YN,0,0,2,386,386,0,1,0,1,5,66162
NT00000537,B,T,1,64,N,Y,Y,F,0,YN,0,0,0,6465,7773,0,5,0,0,1,8480
NT00000345,B,T,6,49,N,N,Y,1,0,YN,0,0,0,5538,5538,2,4,0,0,1,840
NT00000345,B,T,6,64,N,Y,N,F,2,YY,0,0,0,5222,5222,3,5,0,0,5,105080
NI00000278,B,I,6,45,N,N,Y,K,0,YN,0,0,3,2175,8212,4,1,0,1,1,19602
NI00000541,B,I,9,47,N,N,Y,J,0,YN,0,35,1,0,0,0,0,0,2,5,140520
NT00000537,B,T,7,47,N,Y,Y,J,1,YY,0,0,0,8100,8100,1,3,0,0,2,19630
NP00000041,B,P,7,37,N,N,N,1,0,YN,0,0,4,60,4225,3,2,0,2,4,74130
NI00000541,B,I,1,64,N,Y,Y,F,0,YN,0,0,0,6465,7773,0,5,0,0,1,47540
NT00000537,B,T,4,57,N,N,Y,F,0,NN,0,0,0,0,5314,0,0,0,0,1,9823
NT00000358,B,T,9,55,N,Y,Y,F,1,YY,0,903,2,0,5992,6,0,0,1,3,42945
NT00000335,B,T,7,35,N,N,Y,J,0,YN,0,0,5,697,4268,1,1,307,1,2,17512
NT00000537,B,T,3,68,N,N,N,1,0,YN,0,0,1,0,0,0,0,0,1,2,22470
NI00000541,B,I,3,33,N,N,Y,J,0,YN,0,0,0,1447,1475,3,2,0,0,1,45419
NT00000327,B,T,4,38,N,N,N,1,0,YN,0,0,0,3198,3198,4,5,0,0,2,59180
NT00000345,B,T,9,47,N,N,Y,J,0,YN,0,35,1,0,0,0,0,0,2,5,97940
NT00000345,B,T,5,46,N,Y,N,1,0,YN,0,0,0,6111,6111,3,3,0,0,3,34640
NT00000345,B,T,1,53,N,N,N,1,0,YN,0,0,0,1840,1840,0,2,0,0,2,43250
NP00000055,B,P,1,42,N,Y,Y,J,0,YN,0,0,0,6952,6952,2,7,0,0,1,1801
NI00000278,B,I,7,37,N,N,N,1,0,YN,0,0,4,60,4225,3,2,0,2,4,85700
NI00000541,B,I,6,54,N,N,Y,J,0,YN,0,0,0,5305,5305,0,2,0,0,1,29432
NT00000339,B,T,4,26,N,Y,Y,J,0,YN,0,0,0,0,0,0,0,0,0,1,24732
NT00000537,B,T,2,37,N,N,Y,J,0,YN,0,0,0,1412,1412,0,1,0,0,2,19405
NT00000537,B,T,1,64,N,Y,Y,F,0,YN,0,0,0,6465,7773,0,5,0,0,1,8480
NP00000029,B,P,1,36,N,Y,Y,J,0,YN,0,0,0,230,3143,8,3,0,0,2,4877
NT00000327,B,T,1,53,N,Y,Y,F,0,YN,0,0,0,8146,8146,2,2,0,0,4,47290
NI00000541,B,I,10,42,N,N,Y,J,0,YN,0,106,2,5971,5971,0,2,0,2,4,141832
NI00000541,B,I,4,26,N,Y,Y,J,0,YN,0,0,0,0,0,0,0,0,0,1,45419
NT00000537,B,T,6,44,N,N,Y,F,1,YY,0,0,0,0,2548,1,0,0,0,5,89412
NT00000335,B,T,6,48,N,N,N,1,0,YN,0,0,0,0,0,0,0,0,0,4,108160
NT00000281,B,T,3,68,N,N,N,1,0,YN,0,0,1,0,0,0,0,0,1,2,15580
NT00000345,B,T,4,54,N,Y,Y,J,3,YY,0,0,0,0,4335,2,0,0,0,2,32971
NI00000541,B,I,1,38,N,Y,Y,J,0,YN,0,0,0,4163,4787,4,5,0,0,1,35909
NT00000345,B,T,6,54,N,N,Y,J,0,YN,0,0,0,5305,5305,0,2,0,0,1,25832
NT00000299,B,T,2,33,N,Y,N,1,0,YN,0,0,0,2232,2232,0,4,0,0,0,0
NT00000345,B,T,2,30,N,Y,Y,2,0,YN,0,0,0,2246,2246,1,2,0,0,0,0
NI00000278,B,I,4,23,N,Y,Y,F,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000339,B,T,1,41,N,Y,Y,F,0,NN,0,0,0,5368,5368,1,5,0,0,0,0
NT00000345,B,T,2,60,N,Y,Y,F,0,NN,0,0,0,10953,10953,4,7,0,0,0,0
NI00000278,B,I,2,71,N,Y,Y,J,0,YN,0,0,0,6455,6455,0,3,0,0,0,0
NP00000041,B,P,3,42,N,Y,Y,J,0,YN,0,0,0,3185,4260,0,4,0,0,0,0
NT00000537,B,T,6,41,N,Y,Y,J,0,YN,0,0,0,2030,2030,1,5,0,0,0,0
NI00000541,B,I,1,37,N,Y,Y,J,0,YN,0,0,0,5312,5312,2,6,0,0,0,0
NT00000345,B,T,6,39,N,Y,Y,J,0,YN,0,0,0,2980,2980,0,4,0,0,0,0
NI00000541,B,I,1,34,N,N,Y,J,0,YN,0,0,0,287,3459,2,1,0,0,0,0
NI00000541,B,I,3,26,N,Y,Y,J,0,YN,0,0,0,378,378,0,2,0,0,0,0
NT00000335,B,T,3,33,N,Y,Y,J,0,YN,0,0,0,2708,2708,4,4,0,0,0,0
NI00000278,B,I,1,32,N,Y,Y,J,0,YN,0,0,0,2594,3994,2,1,0,0,0,0
NI00000278,B,I,4,32,N,Y,N,1,0,YN,0,0,0,2752,2752,0,3,0,0,0,0
NT00000537,B,T,1,65,N,Y,Y,J,0,YN,0,0,0,3543,3543,1,1,0,0,0,0
NT00000339,B,T,1,55,N,Y,Y,F,0,NN,0,0,0,6110,6185,4,6,0,0,0,0
NT00000537,B,T,3,44,N,Y,Y,J,0,YN,0,0,0,5550,5550,2,3,0,0,0,0
NT00000537,B,T,2,71,N,Y,Y,J,0,YN,0,0,0,6455,6455,0,3,0,0,0,0
NI00000278,B,I,1,43,N,Y,Y,J,0,YN,0,0,0,6363,7518,2,7,0,0,0,0
NI00000278,B,I,1,40,N,N,Y,J,0,YN,0,0,0,3835,5398,1,2,0,0,0,0
NT00000345,B,T,3,30,N,Y,Y,F,0,YN,0,0,0,1609,1751,0,3,0,0,0,0
NI00000278,B,I,2,39,N,Y,Y,J,0,YN,0,0,0,5639,5639,2,1,0,0,0,0
NP00000029,B,P,3,50,N,N,Y,F,0,NN,0,0,0,6333,6333,5,6,0,0,0,0
NT00000345,B,T,3,44,N,Y,Y,J,0,YN,0,0,0,5550,5550,2,3,0,0,0,0
NI00000541,B,I,1,29,N,N,Y,J,0,YN,0,0,0,1344,1344,1,3,0,0,0,0
NT00000345,B,T,5,56,N,Y,Y,F,0,NN,0,0,0,0,0,0,0,0,0,0,0
NT00000537,B,T,2,39,N,Y,Y,J,0,YN,0,0,0,5639,5639,2,1,0,0,0,0
NI00000278,B,I,1,44,N,Y,Y,J,0,YN,0,0,0,5491,6809,1,3,0,0,0,0
NT00000299,B,T,2,41,N,Y,Y,1,0,YN,0,0,0,5599,5599,2,8,0,0,0,0
NP00000029,B,P,1,55,N,Y,Y,F,0,YN,0,0,0,7862,7862,1,2,0,0,0,0
NP00000029,B,P,4,47,N,N,Y,F,0,NN,0,0,0,7601,7601,0,3,0,0,0,0
NT00000345,B,T,1,58,N,N,Y,J,0,YN,0,0,0,1169,7570,3,2,0,0,0,0
NT00000345,B,T,7,55,N,Y,Y,1,0,YN,0,0,1,5939,5939,0,5,0,1,0,0
NT00000537,B,T,4,26,N,Y,Y,F,0,YN,0,0,0,2037,2037,0,3,0,0,0,0
NI00000541,B,I,4,30,N,Y,Y,J,0,YN,0,0,0,1667,1667,1,3,0,0,0,0
NT00000533,B,T,5,30,N,Y,Y,J,0,YN,0,0,0,2344,2344,2,5,0,0,0,0
NT00000537,B,T,6,82,N,N,Y,F,0,YN,0,0,0,0,0,0,0,0,0,0,0
NI00000541,B,I,7,30,N,Y,Y,J,0,YN,0,0,1,0,1378,1,0,0,1,0,0
NT00000281,B,T,5,48,N,N,Y,J,0,YN,0,0,0,5083,4742,3,3,0,0,0,0
NI00000278,B,I,3,39,N,Y,Y,J,0,YN,0,0,0,3070,3070,0,2,0,0,0,0
NI00000541,B,I,4,32,N,Y,Y,J,0,YN,0,0,0,3849,3849,1,5,0,0,0,0
NI00000278,B,I,1,48,N,Y,Y,F,0,YN,0,0,0,8413,8413,1,5,0,0,0,0
NT00000345,B,T,7,30,N,Y,Y,J,0,YN,0,0,1,0,1378,1,0,0,1,0,0
NI00000541,B,I,1,40,N,Y,Y,J,0,YN,0,0,0,2745,2897,1,5,0,0,0,0
NI00000278,B,I,4,26,N,N,Y,J,0,YN,0,0,0,867,1742,1,1,0,0,0,0
NP00000055,B,P,2,55,N,Y,Y,J,0,YN,0,0,0,4978,8105,2,2,0,0,0,0
NT00000317,B,T,2,72,N,Y,N,1,0,YN,0,0,0,4602,5513,0,2,0,0,0,0
NI00000278,B,I,2,38,N,Y,N,1,0,YN,0,0,0,529,3294,1,2,0,0,0,0
NI00000278,B,I,5,54,N,N,Y,J,0,YN,0,0,0,2057,2057,1,3,0,0,0,0
NI00000278,B,I,5,30,N,Y,Y,J,0,YN,0,0,0,2344,2344,2,5,0,0,0,0
NI00000541,B,I,1,42,N,Y,Y,J,0,YN,0,0,0,6952,6952,2,7,0,0,0,0
NT00000537,B,T,6,30,N,N,Y,F,0,NN,0,0,0,2454,2454,0,3,0,0,0,0
NT00000345,B,T,1,39,N,Y,Y,J,0,YN,0,0,0,2525,5921,3,5,0,0,0,0
NI00000278,B,I,3,31,N,N,Y,J,0,YN,0,0,0,2058,3028,4,6,0,0,0,0
NT00000537,B,T,7,35,N,N,Y,J,0,YN,0,0,4,167,5866,2,1,0,1,0,0
NI00000278,B,I,6,46,N,N,Y,J,1,YY,0,0,0,1385,1385,1,3,0,0,0,0
NI00000278,B,I,6,26,N,N,Y,F,0,NN,0,0,0,636,636,0,1,0,0,0,0
NT00000303,B,T,2,42,N,Y,Y,F,0,YN,0,0,0,5796,7962,2,2,0,0,0,0
NI00000278,B,I,2,54,N,Y,Y,J,0,YN,0,0,0,6516,8958,1,6,0,0,0,0
NT00000345,B,T,1,43,N,Y,Y,J,0,YN,0,0,0,6363,7518,2,7,0,0,0,0
NI00000278,B,I,2,44,N,Y,Y,J,0,YN,0,0,0,1380,1380,0,1,0,0,0,0
NI00000278,B,I,4,23,N,N,N,1,0,YN,0,0,0,0,0,0,0,0,0,0,0
NI00000278,B,I,1,41,N,Y,Y,F,0,NN,0,0,0,5368,5368,1,5,0,0,0,0
NT00000345,B,T,1,41,N,Y,Y,J,0,YN,0,0,0,6992,7007,2,2,0,0,0,0
NT00000299,B,T,1,34,N,N,Y,F,0,YN,0,0,0,2832,2832,0,2,0,0,0,0
NT00000317,B,T,1,55,N,Y,Y,1,0,YN,0,0,0,7874,5597,0,4,0,0,0,0
NT00000345,B,T,1,49,N,N,N,1,0,YN,0,0,0,5576,5576,1,3,0,0,0,0
NT00000537,B,T,1,56,N,N,Y,F,0,NN,0,0,0,5432,5432,1,4,0,0,0,0
NT00000317,B,T,4,26,N,N,Y,J,0,YN,0,0,0,867,1742,1,1,0,0,0,0
NT00000327,B,T,6,30,N,Y,Y,F,0,YN,0,0,0,1981,4002,0,5,0,0,0,0
NT00000537,B,T,5,49,N,N,Y,F,0,YN,0,0,0,7922,9896,0,3,0,0,0,0
NT00000345,B,T,1,36,N,Y,Y,J,0,YN,0,0,0,4586,4586,0,6,0,0,0,0
NT00000345,B,T,1,40,N,Y,Y,J,0,YN,0,0,0,2745,2897,1,5,0,0,0,0
NI00000278,B,I,2,55,N,Y,Y,J,0,YN,0,0,0,4978,8105,2,2,0,0,0,0
NI00000278,B,I,2,29,N,N,Y,J,0,YN,0,0,0,1751,1751,3,1,0,0,0,0
NI00000542,B,I,6,40,N,N,Y,J,0,YN,0,0,1,0,3154,0,0,0,2,0,0
NT00000327,B,T,6,78,N,Y,Y,1,0,YN,0,0,0,11217,11217,0,3,0,0,0,0
NI00000541,B,I,1,42,N,Y,Y,J,0,YN,0,0,0,4693,5096,4,2,0,0,0,0
NT00000345,B,T,1,36,N,Y,N,1,0,YN,0,0,0,4620,4620,2,5,0,0,0,0
NT00000327,B,T,7,40,N,N,Y,F,0,YN,0,0,0,3098,3098,1,2,0,0,0,0
NI00000278,B,I,4,62,N,Y,Y,F,0,NN,0,0,0,1980,1980,3,1,0,0,0,0
NT00000345,B,T,4,30,N,Y,Y,J,0,YN,0,0,0,1667,1667,1,3,0,0,0,0
NI00000278,B,I,1,34,N,N,Y,F,0,YN,0,0,0,2832,2832,0,2,0,0,0,0
NT00000345,B,T,4,16,Y,N,N,1,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000327,B,T,1,56,N,Y,N,1,0,YN,0,0,0,3960,3960,0,2,0,0,0,0
NT00000537,B,T,1,46,N,Y,N,1,0,YN,0,0,0,8630,8630,1,6,0,0,0,0
NP00000055,B,P,3,44,N,Y,Y,J,0,YN,0,0,0,5550,5550,2,3,0,0,0,0
NT00000392,B,T,1,72,N,Y,Y,F,0,YN,0,0,0,10078,10078,1,1,0,0,0,0
NT00000345,B,T,1,38,N,Y,Y,J,0,NN,0,0,0,4138,4138,3,5,0,0,0,0
NT00000345,B,T,1,51,N,Y,N,1,0,YN,0,0,0,7131,7850,1,3,0,0,0,0
NT00000537,B,T,5,54,N,N,Y,J,0,YN,0,0,0,2057,2057,1,3,0,0,0,0
NI00000541,B,I,2,60,N,Y,Y,F,0,NN,0,0,0,10953,10953,4,7,0,0,0,0
NT00000529,B,T,4,71,N,Y,Y,F,0,YN,0,0,0,2535,3821,1,3,0,0,0,0
NT00000281,B,T,3,48,N,N,Y,F,0,NN,0,0,0,5778,6063,3,6,0,0,0,0
NI00000278,B,I,1,12,Y,Y,Y,F,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000345,B,T,2,27,N,Y,Y,F,0,YN,0,0,0,596,596,0,1,0,0,0,0
NT00000537,B,T,1,34,N,N,Y,F,0,YN,0,0,0,2832,2832,0,2,0,0,0,0
NT00000345,B,T,1,34,N,N,Y,J,0,YN,0,0,0,287,3459,2,1,0,0,0,0
NT00000537,B,T,2,37,N,N,Y,J,0,YN,0,0,0,3562,3562,0,4,0,0,0,0
NI00000278,B,I,4,46,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000537,B,T,5,20,N,N,Y,F,0,YN,0,0,0,460,460,0,2,0,0,0,0
NT00000345,B,T,8,61,N,Y,Y,F,0,NN,0,1170,1,0,0,0,0,0,1,0,0
NT00000537,B,T,1,65,N,Y,Y,J,0,YN,0,0,0,3791,4318,1,2,0,0,0,0
NI00000542,B,I,6,32,N,N,N,1,0,YN,0,0,0,2479,2479,1,3,0,0,0,0
NI00000541,B,I,1,43,N,N,Y,J,0,YN,0,0,0,7651,7651,1,4,0,0,0,0
NT00000537,B,T,4,46,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,0,0
NI00000278,B,I,2,37,N,N,Y,J,0,YN,0,0,0,3562,3562,0,4,0,0,0,0
NT00000537,B,T,4,20,N,N,Y,F,0,YN,0,0,0,294,294,1,1,0,0,0,0
NT00000345,B,T,6,40,N,N,Y,J,0,YN,0,0,1,0,3154,0,0,0,2,0,0
NI00000541,B,I,3,30,N,Y,Y,F,0,YN,0,0,0,1609,1751,0,3,0,0,0,0
NT00000345,B,T,1,61,N,Y,Y,F,0,YN,0,0,0,8449,8449,0,6,0,0,0,0
NI00000541,B,I,1,41,N,Y,Y,J,0,YN,0,0,0,6992,7007,2,2,0,0,0,0
NI00000541,B,I,1,36,N,Y,Y,J,0,YN,0,0,0,4586,4586,0,6,0,0,0,0
NT00000327,B,T,2,69,N,N,N,1,0,YN,0,0,0,4611,4611,2,1,0,0,0,0
NI00000541,B,I,3,29,N,Y,Y,F,0,YN,0,0,0,382,543,1,2,0,0,0,0
NT00000345,B,T,1,55,N,Y,Y,1,0,YN,0,0,0,7874,5597,0,4,0,0,0,0
NT00000299,B,T,1,35,N,Y,Y,F,0,YN,0,0,0,4150,4150,2,1,0,0,0,0
NT00000335,B,T,6,36,N,N,Y,K,0,YN,0,0,0,3296,3322,1,3,0,0,0,0
NI00000278,B,I,2,26,N,Y,Y,J,0,YN,0,0,0,0,1350,0,1,0,0,0,0
NT00000529,B,T,2,55,N,Y,Y,J,0,YN,0,0,0,4978,8105,2,2,0,0,0,0
NI00000541,B,I,3,33,N,Y,Y,J,0,YN,0,0,0,2708,2708,4,4,0,0,0,0
NI00000541,B,I,1,37,N,Y,Y,J,0,YN,0,0,0,2365,2365,0,1,0,0,0,0
NP00000029,B,P,3,50,N,N,Y,F,0,NN,0,0,0,6333,6333,5,6,0,0,0,0
NI00000541,B,I,1,39,N,Y,Y,J,0,YN,0,0,0,4920,4920,2,1,0,0,0,0
NI00000278,B,I,7,35,N,N,Y,J,0,YN,0,0,4,167,5866,2,1,0,1,0,0
NI00000278,B,I,6,30,N,N,Y,F,0,NN,0,0,0,2454,2454,0,3,0,0,0,0
NI00000278,B,I,7,40,N,N,Y,F,0,YN,0,0,0,3098,3098,1,2,0,0,0,0
NT00000345,B,T,6,32,N,N,N,1,0,YN,0,0,0,2479,2479,1,3,0,0,0,0
NI00000278,B,I,1,55,N,Y,Y,F,0,NN,0,0,0,6110,6185,4,6,0,0,0,0
NT00000345,B,T,1,40,N,Y,Y,J,0,YN,0,0,0,6076,6076,3,6,0,0,0,0
NT00000537,B,T,1,50,N,N,Y,J,0,YN,0,0,0,9311,9311,7,6,0,0,0,0
NT00000303,B,T,2,39,N,Y,Y,J,0,YN,0,0,0,5639,5639,2,1,0,0,0,0
NT00000327,B,T,2,42,N,Y,N,1,0,YN,0,0,0,5598,5598,3,4,0,0,0,0
NI00000541,B,I,1,55,N,Y,Y,1,0,YN,0,0,0,7874,5597,0,4,0,0,0,0
NT00000345,B,T,4,23,N,N,Y,J,0,YN,0,0,0,543,543,0,1,0,0,0,0
NT00000321,B,T,6,35,N,Y,Y,J,0,YN,0,0,0,2043,3373,0,4,0,0,0,0
NT00000537,B,T,1,36,N,Y,Y,J,0,YN,0,0,0,3078,5160,1,2,0,0,0,0
NT00000299,B,T,1,60,N,Y,Y,J,0,YN,0,0,0,6103,6247,4,6,0,0,0,0
NT00000345,B,T,1,37,N,Y,Y,J,0,YN,0,0,0,2365,2365,0,1,0,0,0,0
NI00000278,B,I,7,44,N,Y,Y,F,0,YN,0,0,0,7986,7986,1,6,0,0,0,0
NI00000278,B,I,3,44,N,Y,Y,J,0,YN,0,0,0,5550,5550,2,3,0,0,0,0
NT00000537,B,T,2,26,N,N,Y,F,0,YN,0,0,0,1089,1355,2,1,0,0,0,0
NI00000542,B,I,9,54,N,N,Y,J,0,YN,0,2027,1,0,5401,2,0,0,1,0,0
NT00000537,B,T,7,42,N,N,Y,J,0,YN,0,0,2,509,4911,0,7,0,1,0,0
NT00000533,B,T,6,46,N,N,Y,J,1,YY,0,0,0,1385,1385,1,3,0,0,0,0
NT00000537,B,T,4,44,N,Y,N,1,0,YN,0,0,0,3510,5907,2,4,0,0,0,0
NT00000345,B,T,9,54,N,N,Y,J,0,YN,0,2027,1,0,5401,2,0,0,1,0,0
NP00000055,B,P,2,44,N,Y,Y,J,0,YN,0,0,0,1380,1380,0,1,0,0,0,0
NT00000327,B,T,1,49,N,Y,N,1,0,YN,0,0,0,5146,5146,2,2,0,0,0,0
NI00000541,B,I,1,58,N,N,Y,J,0,YN,0,0,0,1169,7570,3,2,0,0,0,0
NI00000278,B,I,7,42,N,N,Y,J,0,YN,0,0,2,509,4911,0,7,0,1,0,0
NT00000537,B,T,2,61,N,N,Y,J,0,YN,0,0,0,3039,3898,1,2,0,0,0,0
NT00000293,B,T,2,52,N,N,Y,1,0,YN,0,0,0,4404,6397,5,4,0,0,0,0
NI00000278,B,I,2,51,N,Y,Y,J,0,YN,0,0,0,5920,6802,1,4,0,0,0,0
NI00000278,B,I,4,38,N,N,Y,J,0,YN,0,0,0,6131,6131,2,3,0,0,0,0
NP00000029,B,P,4,46,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,0,0
NI00000278,B,I,4,47,N,N,Y,F,0,NN,0,0,0,7601,7601,0,3,0,0,0,0
NT00000533,B,T,2,31,N,N,Y,K,0,YN,0,0,0,1973,1973,0,2,0,0,0,0
NI00000541,B,I,1,39,N,Y,Y,J,0,YN,0,0,0,2525,5921,3,5,0,0,0,0
NT00000537,B,T,7,44,N,Y,Y,F,0,YN,0,0,0,7986,7986,1,6,0,0,0,0
NT00000327,B,T,6,36,N,Y,Y,F,0,YN,0,0,1,2126,5432,1,6,0,1,0,0
NT00000537,B,T,7,40,N,N,Y,F,0,YN,0,0,0,3098,3098,1,2,0,0,0,0
NT00000345,B,T,3,26,N,Y,Y,J,0,YN,0,0,0,378,378,0,2,0,0,0,0
NI00000541,B,I,2,30,N,Y,Y,2,0,YN,0,0,0,2246,2246,1,2,0,0,0,0
NI00000278,B,I,5,23,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000281,B,T,2,57,N,Y,Y,F,0,YN,0,0,0,7470,7470,4,8,0,0,0,0
NT00000537,B,T,2,46,N,Y,Y,F,0,YN,0,0,0,7860,7860,5,5,0,0,0,0
NI00000278,B,I,1,34,N,N,Y,J,0,YN,0,0,0,1607,1607,0,3,0,0,0,0
NT00000281,B,T,2,47,N,Y,Y,J,0,YN,0,0,0,6150,8650,1,5,0,0,0,0
NI00000278,B,I,2,47,N,N,Y,F,0,YN,0,0,0,2157,2157,0,3,0,0,0,0
NI00000541,B,I,1,38,N,Y,Y,J,0,NN,0,0,0,4138,4138,3,5,0,0,0,0
NT00000317,B,T,1,44,N,N,N,1,0,YN,0,0,0,1576,7925,4,3,0,0,0,0
NI00000541,B,I,4,23,N,N,Y,J,0,YN,0,0,0,543,543,0,1,0,0,0,0
NT00000327,B,T,3,27,N,N,Y,J,0,YN,0,0,0,659,2077,0,1,0,0,0,0
NP00000055,B,P,8,61,N,Y,Y,F,0,NN,0,1170,1,0,0,0,0,0,1,0,0
NI00000278,B,I,4,26,N,Y,N,1,0,YN,0,0,0,0,1092,0,1,0,0,0,0
NT00000327,B,T,4,53,N,N,Y,2,0,YN,0,0,0,11,11,0,1,0,0,0,0
NT00000345,B,T,1,29,N,N,Y,J,0,YN,0,0,0,1344,1344,1,3,0,0,0,0
NI00000541,B,I,5,56,N,Y,Y,F,0,NN,0,0,0,0,0,0,0,0,0,0,0
NT00000345,B,T,2,27,N,Y,Y,F,0,YN,0,0,0,596,596,0,1,0,0,0,0
NT00000529,B,T,4,46,N,N,Y,J,0,YN,0,0,0,0,0,0,0,0,0,0,0
NT00000537,B,T,2,47,N,N,Y,F,0,YN,0,0,0,2157,2157,0,3,0,0,0,0
NT00000345,B,T,3,29,N,Y,Y,F,0,YN,0,0,0,382,543,1,2,0,0,0,0
NI00000541,B,I,8,61,N,Y,Y,F,0,NN,0,1170,1,0,0,0,0,0,1,0,0
NT00000327,B,T,2,38,N,Y,N,1,0,YN,0,0,0,529,3294,1,2,0,0,0,0
NT00000281,B,T,1,60,N,N,N,1,0,YN,0,0,0,6064,6064,1,4,0,0,0,0
NT00000345,B,T,1,37,N,Y,Y,J,0,YN,0,0,0,5312,5312,2,6,0,0,0,0
NT00000317,B,T,6,32,N,N,N,1,0,YN,0,0,0,2479,2479,1,3,0,0,0,0
NT00000345,B,T,1,42,N,Y,Y,J,0,YN,0,0,0,4693,5096,4,2,0,0,0,0
NP00000029,B,P,1,41,N,Y,Y,J,0,YN,0,0,0,6992,7007,2,2,0,0,0,0
NT00000537,B,T,4,38,N,N,Y,J,0,YN,0,0,0,6131,6131,2,3,0,0,0,0
NP00000029,B,P,2,45,N,Y,N,1,0,YN,0,0,0,0,4067,0,0,0,0,0,0
NT00000299,B,T,5,49,N,Y,N,1,0,YN,0,0,0,7858,6284,1,5,0,0,0,0
